Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Daily);Environment:Site Outdoor Air Relative Humidity [%](Daily);BEZERREIRO:Zone Operative Temperature [C](Daily);CIRCULA:Zone Operative Temperature [C](Daily);BEZERREIRO:Zone Air Relative Humidity [%](Daily);CIRCULA:Zone Air Relative Humidity [%](Daily) 
 02/27;18,884375000000003;78,03125;26,349410036956216;25,812354593450207;77,35548187298955;79,80133149695222 
 02/28;19,053645833333336;85,28125;26,197046731821048;25,586947247491059;78,0168231823828;80,82452008838497 
 03/01;20,145833333333337;93,89583333333333;25,59673094647093;24,911912297563338;80,83386875712314;84,162328605121 
 03/02;20,538020833333339;88,18229166666667;26,0702980038058;25,376343088214907;79,04869305552882;82,31085949005277 
 03/03;21,3015625;90,984375;26,488636427743076;25,837034857801993;77,1858019498164;80,18235708222498 
 03/04;23,449999999999993;83,15625;27,021680898565547;26,415577797538174;74,51273982254502;77,19549545989814 
 03/05;24,469791666666663;79,66666666666667;26,74293946178952;26,233394488891084;75,52176875470274;77,83232043994158 
 03/06;23,948958333333335;73,60416666666667;27,219372759894126;26,776459850786819;73,63640219058671;75,55358188227935 
 03/07;21,440624999999998;76,03645833333333;27,333372834964206;26,945330423856729;73,28951900187728;74,96441812152479 
 03/08;20,111979166666669;77,36979166666667;27,22075679140443;26,81016638130244;73,78741253464078;75,56707250404637 
 03/09;21,148437500000005;87,69791666666667;27,956702880945288;27,506616023689973;70,60046215355031;72,42797289964615 
 03/10;22,58385416666667;88,734375;27,752702270039167;27,34850308529218;71,06755055787552;72,7672699263946 
 03/11;19,749479166666668;84,234375;27,548266582265119;27,14674944364917;72,40285554754827;74,0922478303076 
 03/12;20,091666666666666;83,70833333333333;27,02761907156925;26,57290285417569;74,95340761988445;76,96281843608887 
 03/13;21,60260416666667;83,05729166666667;26,14604506227567;25,68627925164959;78,83709171913454;81,00222276385803 
 03/14;24,22864583333333;82,91666666666667;25,48472410474629;25,051411094390948;81,32363993263248;83,45003431251348 
 03/15;23,62760416666667;82,75520833333333;26,150064376194007;25,74894364217967;77,91965925904685;79,76856720925947 
 03/16;21,464583333333335;78,76041666666667;26,438346837591938;26,058670203583917;76,91513299743987;78,63283442627899 
 03/17;22,928645833333336;77,11458333333333;27,254678700021985;26,89781777417818;73,23638958738536;74,74585414610637 
 03/18;20,055208333333334;83,203125;27,263667895152975;26,913831178073509;73,73812546710279;75,25228600814923 
 03/19;18,52291666666667;81,3125;27,458511103889575;27,035172021601296;72,74814251777859;74,52204475771453 
 03/20;21,799479166666669;81,28125;27,40387922178515;26,9269869247926;72,3080247860323;74,335686292809 
 03/21;20,81041666666667;81,82291666666667;27,084788731489785;26,592552370610677;73,84417165053454;75,99332754941686 
 03/22;16,066666666666668;84,91145833333333;26,4281534435107;25,9059857261454;77,75971308604021;80,15661516852845 
 03/23;16,970833333333336;75,41666666666667;26,281575016468623;25,62601938891109;78,57759091155092;81,61080494024621 
